item_id,datetime,month,region,mgrs_tile,cloud_cover_pct,B02_blue,B03_green,B04_red,B08_nir,B11_swir16,B12_swir22,NDVI,NDBI,NDMI,BSI
S2B_34SGH_20180529_0_L2A,2018-05-29 09:27:45.610000+00:00,2018-05,Attica,MGRS-34SGH,2.66,0.076739,0.095675,0.108595,0.2129,0.229651,0.174223,0.3244,0.0379,-0.0379,0.0774
S2B_35SKB_20180426_0_L2A,2018-04-26 09:09:18.100000+00:00,2018-04,Attica,MGRS-35SKB,0.12,0.050511,0.049894,0.052583,0.1007,0.096473,0.072472,0.3139,-0.0214,0.0214,-0.0072
S2B_35SKB_20170908_0_L2A,2017-09-08 09:19:06.806000+00:00,2017-09,Attica,MGRS-35SKB,0.06,0.045946,0.046463,0.051017,0.082755,0.099242,0.077278,0.2373,0.0906,-0.0906,0.0773
S2B_35SKB_20170829_0_L2A,2017-08-29 09:08:41.637000+00:00,2017-08,Attica,MGRS-35SKB,0.05,0.066607,0.063942,0.06565,0.09396,0.107504,0.084709,0.1774,0.0672,-0.0672,0.0377
S2B_34SFH_20170723_0_L2A,2017-07-23 09:28:53.548000+00:00,2017-07,Attica,MGRS-34SFH,0.06,0.073316,0.095442,0.106789,0.214439,0.218548,0.171248,0.3351,0.0095,-0.0095,0.0613
S2B_34SFG_20170630_0_L2A,2017-06-30 09:18:01.648000+00:00,2017-06,Attica,MGRS-34SFG,0.09,0.045834,0.039081,0.033441,0.049484,0.046709,0.038014,0.1935,-0.0288,0.0288,-0.0864
S2A_35SKB_20170416_0_L2A,2017-04-16 09:08:07.947000+00:00,2017-04,Attica,MGRS-35SKB,1.55,0.05514,0.056834,0.05624,0.10472,0.095495,0.07062,0.3012,-0.0461,0.0461,-0.0261
S2A_34SFH_20250923_0_L2A,2025-09-23 09:20:09.534000+00:00,2025-09,Evia Island,MGRS-34SFH,0.03,0.041713,0.068918,0.089326,0.209816,0.19971,0.132473,0.4028,-0.0247,0.0247,0.0694
S2A_34SFJ_20250728_1_L2A,2025-07-28 09:29:54.646000+00:00,2025-07,Evia Island,MGRS-34SFJ,0.0,0.054129,0.074618,0.080092,0.219153,0.174648,0.109995,0.4647,-0.113,0.113,-0.0351
S2A_34SGJ_20250628_1_L2A,2025-06-28 09:29:49.104000+00:00,2025-06,Evia Island,MGRS-34SGJ,0.5,0.082854,0.089615,0.092776,0.152378,0.13996,0.106016,0.2431,-0.0425,0.0425,-0.0053
S2C_34SFJ_20250527_0_L2A,2025-05-27 09:29:56.097000+00:00,2025-05,Evia Island,MGRS-34SFJ,3.35,0.05056,0.071092,0.062236,0.231157,0.153821,0.095653,0.5758,-0.2009,0.2009,-0.1319
S2A_35SKD_20250419_1_L2A,2025-04-19 09:29:44.408000+00:00,2025-04,Evia Island,MGRS-35SKD,0.3,0.050185,0.047363,0.044526,0.059932,0.05319,0.045154,0.1475,-0.0596,0.0596,-0.0597
S2A_35SKD_20240926_1_L2A,2024-09-26 09:19:42.192000+00:00,2024-09,Evia Island,MGRS-35SKD,0.09,0.006422,0.003333,0.002977,0.012815,0.009004,0.00607,0.623,-0.1747,0.1747,-0.2324
S2B_35SKC_20240825_0_L2A,2024-08-25 09:29:42.564000+00:00,2024-08,Evia Island,MGRS-35SKC,0.0,0.056543,0.074148,0.081606,0.177881,0.169645,0.120127,0.371,-0.0237,0.0237,0.0346
S2A_35SKD_20240728_0_L2A,2024-07-28 09:19:38.700000+00:00,2024-07,Evia Island,MGRS-35SKD,0.06,0.044724,0.032829,0.026684,0.033884,0.028745,0.022486,0.1189,-0.0821,0.0821,-0.1729
S2A_35SKD_20240628_0_L2A,2024-06-28 09:19:38.891000+00:00,2024-06,Evia Island,MGRS-35SKD,1.13,0.069178,0.057445,0.051443,0.057881,0.053394,0.045016,0.0589,-0.0403,0.0403,-0.0958
S2B_34SGJ_20240524_0_L2A,2024-05-24 09:19:36.431000+00:00,2024-05,Evia Island,MGRS-34SGJ,0.27,0.040508,0.033542,0.028123,0.073094,0.05578,0.039985,0.4443,-0.1343,0.1343,-0.1504
S2A_34SGJ_20240429_0_L2A,2024-04-29 09:19:39.307000+00:00,2024-04,Evia Island,MGRS-34SGJ,2.08,0.042818,0.040976,0.036995,0.083086,0.06353,0.046577,0.3838,-0.1334,0.1334,-0.1121
S2A_35SKC_20230922_0_L2A,2023-09-22 09:19:52.027000+00:00,2023-09,Evia Island,MGRS-35SKC,0.01,0.03193,0.058516,0.064765,0.179152,0.160756,0.105914,0.469,-0.0541,0.0541,0.0331
S2B_35SKD_20230828_0_L2A,2023-08-28 09:19:40.596000+00:00,2023-08,Evia Island,MGRS-35SKD,0.0,0.018335,0.006975,0.004658,0.015596,0.015437,0.011733,0.54,-0.0051,0.0051,-0.2561
S2B_34SGJ_20230729_0_L2A,2023-07-29 09:19:42.214000+00:00,2023-07,Evia Island,MGRS-34SGJ,0.03,0.016445,0.015404,0.017511,0.056135,0.050024,0.033644,0.5244,-0.0576,0.0576,-0.036
